Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,2,M,5,0.1437385034282601,0.3366748567634724,10.379428148269653
dense_structure,2,5,2,N,5,0.0885480396254726,0.20580167273610503,10.379428148269653
dense_structure,2,5,2,O,5,0.687374520345229,1.7706651697398386,10.379428148269653
dense_structure,2,5,2,P,5,2.4100272201800124,1.7324709038797403,10.379428148269653
dense_structure,2,5,2,Q,5,0.2105286069192713,0.41689536105169,10.379428148269653
dense_structure,2,5,2,R,5,1.0376819711612133,0.5435259410733926,10.379428148269653
dense_structure,2,5,2,S,5,3.0565682860205534,2.6432344515179604,10.379428148269653
dense_structure,2,5,2,T,5,3.0966997524690827,3.25694920114119,10.379428148269653
dense_structure,2,5,2,U,5,0.10400979355744647,0.052948160988349736,10.379428148269653
dense_structure,2,5,1,A,6,2.4751692130129523,4.20696837418111,7.413680791854858
dense_structure,2,5,1,D,6,1.744669218699486,0.7651656696728888,7.413680791854858
dense_structure,2,5,1,E,6,1.2930323402882637,1.574054590375428,7.413680791854858
dense_structure,2,5,1,F,6,0.30257929352541135,0.23029348296989838,7.413680791854858
dense_structure,2,5,1,B,6,0.10559614339082873,0.544101300835441,7.413680791854858
dense_structure,2,5,1,G,6,0.3155270276437082,0.34188403458953265,7.413680791854858
dense_structure,2,5,1,H,6,0.0017246865256737897,0.040992641037732556,7.413680791854858
dense_structure,2,5,1,C,6,0.11036720687712669,0.3967071232026439,7.413680791854858
dense_structure,2,5,1,I,6,2.6222644623607576,1.6251800291953822,7.413680791854858
dense_structure,2,5,1,J,6,0.12488102959685358,0.08204102355757749,7.413680791854858
dense_structure,2,5,1,K,6,0.6193459150737637,1.721046785367579,7.413680791854858
dense_structure,2,5,1,L,6,1.9401876536663991,1.4293048568923925,7.413680791854858
dense_structure,2,5,1,M,6,0.10464770504491058,0.3366748567634724,7.413680791854858
dense_structure,2,5,1,N,6,2.128853400619823,3.41617453910193,7.413680791854858
dense_structure,2,5,1,O,6,0.9400036563246548,1.7706651697398386,7.413680791854858
dense_structure,2,5,1,P,6,2.3269322226413296,1.7324709038797403,7.413680791854858
